"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "Markdown", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/hooks/index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/hooks/useAsync.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 1, 10, 56
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/hooks/useConfirmation.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 6, 57
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/hooks/useDebounce.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/hooks/useForm.ts", "TypeScript", 140, 0, 0, 0, 0, 0, 0, 22, 31, 193
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/hooks/useLocalStorage.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 9, 10, 72
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/appwrite/client.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 3, 7, 36
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/appwrite/helpers.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 3, 5, 44
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/appwrite/server.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 1, 7, 32
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/appwrite/types.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 3, 7, 72
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/services/AuthService.ts", "TypeScript", 322, 0, 0, 0, 0, 0, 0, 37, 52, 411
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/services/ContactService.ts", "TypeScript", 288, 0, 0, 0, 0, 0, 0, 42, 48, 378
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/services/GuestService.ts", "TypeScript", 365, 0, 0, 0, 0, 0, 0, 3, 27, 395
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/services/__tests__/GuestService.test.ts", "TypeScript", 247, 0, 0, 0, 0, 0, 0, 6, 76, 329
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/services/index.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 3, 3, 16
